record_type,relation,source_design_id,source_split,neighbor_design_id,neighbor_split,normalized_euclidean_distance,cross_split,within_predeclared_radius_0_10
nearest_by_relation,new_original,AUGV1-D072,train,D043,train,0.83604945418487164,False,False
nearest_by_relation,new_new,AUGV1-D073,train,AUGV1-D076,train,0.66897728227227815,False,False
nearest_by_relation,new_original,AUGV1-D073,train,D002,train,0.57079258937680111,False,False
nearest_by_relation,new_new,AUGV1-D074,train,AUGV1-D086,validation,0.70066457104276914,True,False
nearest_by_relation,new_original,AUGV1-D074,train,D024,test,0.70316682663115349,True,False
nearest_by_relation,new_new,AUGV1-D075,train,AUGV1-D078,train,0.66714438062878612,False,False
nearest_by_relation,new_original,AUGV1-D075,train,D040,train,0.75651778472534281,False,False
nearest_by_relation,new_new,AUGV1-D076,train,AUGV1-D052,train,0.59527384210476786,False,False
nearest_by_relation,new_original,AUGV1-D076,train,D002,train,0.49708523209980782,False,False
nearest_by_relation,new_new,AUGV1-D077,train,AUGV1-D086,validation,0.93503726207583193,True,False
nearest_by_relation,new_original,AUGV1-D077,train,D080,train,0.81587955917593113,False,False
nearest_by_relation,new_new,AUGV1-D078,train,AUGV1-D064,validation,0.64750286867742235,True,False
nearest_by_relation,new_original,AUGV1-D078,train,D040,train,0.6436278349350385,False,False
nearest_by_relation,new_new,AUGV1-D079,train,AUGV1-D076,train,0.66897728227227804,False,False
nearest_by_relation,new_original,AUGV1-D079,train,D053,train,0.75317689601374527,False,False
nearest_by_relation,new_new,AUGV1-D080,train,AUGV1-D059,train,0.75719829480355627,False,False
nearest_by_relation,new_original,AUGV1-D080,train,D083,train,0.70826788839536292,False,False
nearest_by_relation,new_new,AUGV1-D081,train,AUGV1-D078,train,0.66714438062878612,False,False
nearest_by_relation,new_original,AUGV1-D081,train,D089,train,0.53588415122584265,False,False
nearest_by_relation,new_new,AUGV1-D082,train,AUGV1-D066,test,0.65724366729484096,True,False
nearest_by_relation,new_original,AUGV1-D082,train,D063,test,0.5166087552203954,True,False
nearest_by_relation,new_new,AUGV1-D083,train,AUGV1-D051,train,0.53196397064543555,False,False
nearest_by_relation,new_original,AUGV1-D083,train,D018,train,0.4546245513178816,False,False
nearest_by_relation,new_new,AUGV1-D084,validation,AUGV1-D076,train,0.91251294369200919,True,False
