run_id,run_key,design_id,split,overall_minimum,threshold,signed_margin,absolute_margin,recorded_breach,reproduced_breach,polarity_match,exact_threshold
150,D030-R00,D030,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
151,D030-R01,D030,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
152,D030-R02,D030,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
153,D030-R03,D030,train,0.066666666666666666,0.80000000000000004,-0.73333333333333339,0.73333333333333339,True,True,True,False
154,D030-R04,D030,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
155,D031-R00,D031,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
156,D031-R01,D031,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
157,D031-R02,D031,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
158,D031-R03,D031,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
159,D031-R04,D031,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
160,D032-R00,D032,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
161,D032-R01,D032,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
162,D032-R02,D032,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
163,D032-R03,D032,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
164,D032-R04,D032,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
165,D033-R00,D033,validation,0.1111111111111111,0.80000000000000004,-0.68888888888888888,0.68888888888888888,True,True,True,False
166,D033-R01,D033,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
167,D033-R02,D033,validation,0.055555555555555552,0.80000000000000004,-0.74444444444444446,0.74444444444444446,True,True,True,False
168,D033-R03,D033,validation,0.055555555555555552,0.80000000000000004,-0.74444444444444446,0.74444444444444446,True,True,True,False
169,D033-R04,D033,validation,0.1388888888888889,0.80000000000000004,-0.6611111111111112,0.6611111111111112,True,True,True,False
170,D034-R00,D034,test,0.55000000000000004,0.80000000000000004,-0.25,0.25,True,True,True,False
171,D034-R01,D034,test,0.40000000000000002,0.80000000000000004,-0.40000000000000002,0.40000000000000002,True,True,True,False
172,D034-R02,D034,test,0.5,0.80000000000000004,-0.30000000000000004,0.30000000000000004,True,True,True,False
173,D034-R03,D034,test,0.59999999999999998,0.80000000000000004,-0.20000000000000007,0.20000000000000007,True,True,True,False
174,D034-R04,D034,test,0.40000000000000002,0.80000000000000004,-0.40000000000000002,0.40000000000000002,True,True,True,False
175,D035-R00,D035,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
176,D035-R01,D035,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
