scope,first_design_id,first_partition,second_design_id,second_partition,normalized_distance
stage_a_pair,SA-D011,sealed_holdout,SA-D016,development,0.52208042648645481
stage_a_pair,SA-D011,sealed_holdout,SA-D017,development,0.52768732449131051
stage_a_pair,SA-D011,sealed_holdout,SA-D018,development,0.34761488908145338
stage_a_pair,SA-D011,sealed_holdout,SA-D019,development,0.46094725223896443
stage_a_pair,SA-D011,sealed_holdout,SA-D020,validation,0.1578513408063188
stage_a_pair,SA-D011,sealed_holdout,SA-D021,validation,0.58223930909578392
stage_a_pair,SA-D011,sealed_holdout,SA-D022,sealed_holdout,0.1249155271916213
stage_a_pair,SA-D011,sealed_holdout,SA-D023,sealed_holdout,0.75384625561177909
stage_a_pair,SA-D011,sealed_holdout,SA-D024,development,2.1038002906246263
stage_a_pair,SA-D011,sealed_holdout,SA-D025,development,1.2806461977615349
stage_a_pair,SA-D011,sealed_holdout,SA-D026,development,1.4283424314758777
stage_a_pair,SA-D011,sealed_holdout,SA-D027,development,1.156551875187307
stage_a_pair,SA-D011,sealed_holdout,SA-D028,validation,1.4379525450705994
stage_a_pair,SA-D011,sealed_holdout,SA-D029,sealed_holdout,1.4951653776205702
stage_a_pair,SA-D012,development,SA-D013,development,0.16499502075287611
stage_a_pair,SA-D012,development,SA-D014,development,0.27713272230922326
stage_a_pair,SA-D012,development,SA-D015,development,0.37365760994801683
stage_a_pair,SA-D012,development,SA-D016,development,0.5440878370212513
stage_a_pair,SA-D012,development,SA-D017,development,0.57748467675229975
stage_a_pair,SA-D012,development,SA-D018,development,0.34513763946390885
stage_a_pair,SA-D012,development,SA-D019,development,0.52318717114927649
stage_a_pair,SA-D012,development,SA-D020,validation,0.20728602833688475
stage_a_pair,SA-D012,development,SA-D021,validation,0.6100480878485095
stage_a_pair,SA-D012,development,SA-D022,sealed_holdout,0.20270480915205072
stage_a_pair,SA-D012,development,SA-D023,sealed_holdout,0.80897527398709135
stage_a_pair,SA-D012,development,SA-D024,development,2.1536020883789764
stage_a_pair,SA-D012,development,SA-D025,development,1.3419885609928626
stage_a_pair,SA-D012,development,SA-D026,development,1.4371695681612031
stage_a_pair,SA-D012,development,SA-D027,development,1.184565531115553
stage_a_pair,SA-D012,development,SA-D028,validation,1.4993582626926867
stage_a_pair,SA-D012,development,SA-D029,sealed_holdout,1.5538687509651188
stage_a_pair,SA-D013,development,SA-D014,development,0.13392497369695069
stage_a_pair,SA-D013,development,SA-D015,development,0.23925643643871905
stage_a_pair,SA-D013,development,SA-D016,development,0.53613552567833789
stage_a_pair,SA-D013,development,SA-D017,development,0.52249897163526005
stage_a_pair,SA-D013,development,SA-D018,development,0.36174046898788126
stage_a_pair,SA-D013,development,SA-D019,development,0.43045957183657402
stage_a_pair,SA-D013,development,SA-D020,validation,0.12039492645571381
stage_a_pair,SA-D013,development,SA-D021,validation,0.55717558680902834
stage_a_pair,SA-D013,development,SA-D022,sealed_holdout,0.15811710482711264
stage_a_pair,SA-D013,development,SA-D023,sealed_holdout,0.72491529654699682
stage_a_pair,SA-D013,development,SA-D024,development,2.080620474604244
stage_a_pair,SA-D013,development,SA-D025,development,1.2631690866368768
stage_a_pair,SA-D013,development,SA-D026,development,1.4893847371739752
stage_a_pair,SA-D013,development,SA-D027,development,1.1968654652414217
stage_a_pair,SA-D013,development,SA-D028,validation,1.4471116966760968
stage_a_pair,SA-D013,development,SA-D029,sealed_holdout,1.5029257084323633
stage_a_pair,SA-D014,development,SA-D015,development,0.1601361643535737
stage_a_pair,SA-D014,development,SA-D016,development,0.57899450705522815
stage_a_pair,SA-D014,development,SA-D017,development,0.52582581021107477
stage_a_pair,SA-D014,development,SA-D018,development,0.42243492052648229
stage_a_pair,SA-D014,development,SA-D019,development,0.37046087914350495
stage_a_pair,SA-D014,development,SA-D020,validation,0.14645544978331024
stage_a_pair,SA-D014,development,SA-D021,validation,0.53082534390350522
stage_a_pair,SA-D014,development,SA-D022,sealed_holdout,0.21519690471381209
stage_a_pair,SA-D014,development,SA-D023,sealed_holdout,0.66948031621194393
stage_a_pair,SA-D014,development,SA-D024,development,2.0093983428772417
stage_a_pair,SA-D014,development,SA-D025,development,1.1968328494204696
stage_a_pair,SA-D014,development,SA-D026,development,1.5669402211780037
stage_a_pair,SA-D014,development,SA-D027,development,1.2124074875990494
stage_a_pair,SA-D014,development,SA-D028,validation,1.4100187582071564
stage_a_pair,SA-D014,development,SA-D029,sealed_holdout,1.4833825799104015
stage_a_pair,SA-D015,development,SA-D016,development,0.64286101780323479
stage_a_pair,SA-D015,development,SA-D017,development,0.56754519969207329
stage_a_pair,SA-D015,development,SA-D018,development,0.48785542272618232
stage_a_pair,SA-D015,development,SA-D019,development,0.3971784402438579
stage_a_pair,SA-D015,development,SA-D020,validation,0.24322334038356866
stage_a_pair,SA-D015,development,SA-D021,validation,0.51685039602830474
stage_a_pair,SA-D015,development,SA-D022,sealed_holdout,0.25170496617228699
stage_a_pair,SA-D015,development,SA-D023,sealed_holdout,0.63854754851951212
stage_a_pair,SA-D015,development,SA-D024,development,1.9400991684976023
stage_a_pair,SA-D015,development,SA-D025,development,1.137029749139093
stage_a_pair,SA-D015,development,SA-D026,development,1.648728411069486
stage_a_pair,SA-D015,development,SA-D027,development,1.2172211284757675
stage_a_pair,SA-D015,development,SA-D028,validation,1.4136015576951717
stage_a_pair,SA-D015,development,SA-D029,sealed_holdout,1.4777054832684171
stage_a_pair,SA-D016,development,SA-D017,development,0.18802515685807866
stage_a_pair,SA-D016,development,SA-D018,development,0.61834786555092891
stage_a_pair,SA-D016,development,SA-D019,development,0.71472205300825564
stage_a_pair,SA-D016,development,SA-D020,validation,0.56017907010599555
stage_a_pair,SA-D016,development,SA-D021,validation,0.41905902552414226
stage_a_pair,SA-D016,development,SA-D022,sealed_holdout,0.5623063936414312
stage_a_pair,SA-D016,development,SA-D023,sealed_holdout,0.64538640083227417
stage_a_pair,SA-D016,development,SA-D024,development,2.0183591190146086
stage_a_pair,SA-D016,development,SA-D025,development,1.2799582834943601
stage_a_pair,SA-D016,development,SA-D026,development,1.0649737660423313
stage_a_pair,SA-D016,development,SA-D027,development,1.3114808690862396
stage_a_pair,SA-D016,development,SA-D028,validation,1.3970425482302717
stage_a_pair,SA-D016,development,SA-D029,sealed_holdout,1.2484523184097887
stage_a_pair,SA-D017,development,SA-D018,development,0.64295413797557033
stage_a_pair,SA-D017,development,SA-D019,development,0.64079251943573323
stage_a_pair,SA-D017,development,SA-D020,validation,0.53238155819061006
stage_a_pair,SA-D017,development,SA-D021,validation,0.29410381593135299
stage_a_pair,SA-D017,development,SA-D022,sealed_holdout,0.54932344144885792
stage_a_pair,SA-D017,development,SA-D023,sealed_holdout,0.50584255089117247
stage_a_pair,SA-D017,development,SA-D024,development,1.8841175464206663
stage_a_pair,SA-D017,development,SA-D025,development,1.1460549957414019
stage_a_pair,SA-D017,development,SA-D026,development,1.1945825220425481
stage_a_pair,SA-D017,development,SA-D027,development,1.3062652209590209
stage_a_pair,SA-D017,development,SA-D028,validation,1.3239256904778096
stage_a_pair,SA-D017,development,SA-D029,sealed_holdout,1.1775980019507724
stage_a_pair,SA-D018,development,SA-D019,development,0.37238366179099969
stage_a_pair,SA-D018,development,SA-D020,validation,0.38013570853770601
stage_a_pair,SA-D018,development,SA-D021,validation,0.69241513860360304
stage_a_pair,SA-D018,development,SA-D022,sealed_holdout,0.37285087880069373
stage_a_pair,SA-D018,development,SA-D023,sealed_holdout,0.72114358208943985
stage_a_pair,SA-D018,development,SA-D024,development,2.0169519347958458
stage_a_pair,SA-D018,development,SA-D025,development,1.2019344202192328
stage_a_pair,SA-D018,development,SA-D026,development,1.452221819373863
stage_a_pair,SA-D018,development,SA-D027,development,0.9081473913653666
stage_a_pair,SA-D018,development,SA-D028,validation,1.4444796332118714
stage_a_pair,SA-D018,development,SA-D029,sealed_holdout,1.4116519305770558
stage_a_pair,SA-D019,development,SA-D020,validation,0.40367560615356746
stage_a_pair,SA-D019,development,SA-D021,validation,0.63475163519832323
