global_run_id,run_key,design_id,realization_id,partition,run_record_hash,design_record_hash,design_construction_seed,ground_selection_seed,satellite_failure_seed,ground_failure_seed
624,SA-D024-R04,SA-D024,R04,development,6498200c620ff492101bd54758cf823a4b9fa02228f7792851459e808c72ff71,c9e6478bd6185df54c3e1489b61fa2857ecd3992325a0073749fb99a6ad8a96c,8184490492559007544,2161254476531248235,7998885260357508098,6849640822717676703
625,SA-D025-R00,SA-D025,R00,development,4abd251c7025885cf9df8de3b15045ba343a3fb22b925573e28c4f0b97348cbe,3dc19da5e1ac95c96955245bfe33196461423c1591d189b181fca47199365ee4,3933270297451646728,5477296328423561519,7154013472412333902,5307996250112761995
626,SA-D025-R01,SA-D025,R01,development,006dc547e8b3bb248d5807908eac80a4ee6bcde61899e800d3ca2ae72a00998d,3dc19da5e1ac95c96955245bfe33196461423c1591d189b181fca47199365ee4,3933270297451646728,5477296328423561519,2613812713798065611,8011555633961131000
627,SA-D025-R02,SA-D025,R02,development,5e614f6d33b9cd519c63bc7db59227c717839d0051a5ec6789e3e9b6cf4b3ed0,3dc19da5e1ac95c96955245bfe33196461423c1591d189b181fca47199365ee4,3933270297451646728,5477296328423561519,5607626108982245287,1322728704065398142
628,SA-D025-R03,SA-D025,R03,development,e989297e2471e65fa70f8b374beb6953ee698cae11eb6fbc965ba2de562d08c6,3dc19da5e1ac95c96955245bfe33196461423c1591d189b181fca47199365ee4,3933270297451646728,5477296328423561519,5783132384707104034,8262443799288126522
629,SA-D025-R04,SA-D025,R04,development,8cba5ae8335e5b7419c16f4cfe069fb843530a6551d2daafbc17589922db68b1,3dc19da5e1ac95c96955245bfe33196461423c1591d189b181fca47199365ee4,3933270297451646728,5477296328423561519,6848412386882563309,3760060016702916606
630,SA-D026-R00,SA-D026,R00,development,e53e0bc8e001158a645ba66ad6a31dcafa27af6108d7c7166e59e7673250218b,2f5345f12832e20909d22652cbfc689d6930e44d7f943714affc8c64260b7c34,7179569982080585724,8325988857576449541,155283573207029787,10817705130724453
631,SA-D026-R01,SA-D026,R01,development,b4411495ab43d75ce0eef834f886b0b03c1b0d7d13bca599cc1dfe94e77d2100,2f5345f12832e20909d22652cbfc689d6930e44d7f943714affc8c64260b7c34,7179569982080585724,8325988857576449541,365821098862700232,8272682947151061576
632,SA-D026-R02,SA-D026,R02,development,32d7718a5fa51270f6d9d5fd5a314374c3d68a085effcbad4be88726d1bfde9c,2f5345f12832e20909d22652cbfc689d6930e44d7f943714affc8c64260b7c34,7179569982080585724,8325988857576449541,8065062931713545540,8848458973736833978
633,SA-D026-R03,SA-D026,R03,development,9accb70f9a48befdcd25616991e4d34564dbf1e65b769dee4c3dec23f49a08e2,2f5345f12832e20909d22652cbfc689d6930e44d7f943714affc8c64260b7c34,7179569982080585724,8325988857576449541,7551251353766052905,5644394479887808224
