corpus_namespace,global_run_id,run_key,design_id,design_index,realization_id,realization_index,region,partition,sealed,design_record_hash,proposal_status,simulation_authorized,run_record_hash
stage_a_discovery_v1,566,SA-D013-R01,SA-D013,13,R01,1,boundary,development,False,d2b011e6ce59e44bbdfb695af8a45168f8836174561f05684fafd46d9092affc,NOT_FROZEN,False,9a1e4c4ee95dcbdc18c9424194a43046f67c382770b6257141f30f5cb24acf8b
stage_a_discovery_v1,567,SA-D013-R02,SA-D013,13,R02,2,boundary,development,False,d2b011e6ce59e44bbdfb695af8a45168f8836174561f05684fafd46d9092affc,NOT_FROZEN,False,c3367aed13e913aa4a62f867e5fdf87a8d9897d070481c0b7c325dbced0a6d98
stage_a_discovery_v1,568,SA-D013-R03,SA-D013,13,R03,3,boundary,development,False,d2b011e6ce59e44bbdfb695af8a45168f8836174561f05684fafd46d9092affc,NOT_FROZEN,False,74d78f7b020b716d27ad56d533adaf2591a0ac3bd78628f72f69d9008ca4af93
stage_a_discovery_v1,569,SA-D013-R04,SA-D013,13,R04,4,boundary,development,False,d2b011e6ce59e44bbdfb695af8a45168f8836174561f05684fafd46d9092affc,NOT_FROZEN,False,5c6aeeb828339e2c5cb99a1636b72afce33a32ab593a9094a4fa836ead0c5383
stage_a_discovery_v1,570,SA-D014-R00,SA-D014,14,R00,0,boundary,development,False,71ddb60aa969fd3b84e705152364cb63d4059eecc5accd77441fc0b77301624c,NOT_FROZEN,False,f5b5478379eff499cac3fa60d37c524bfbba5a1ccbf0435051d11140c7bcb6c7
stage_a_discovery_v1,571,SA-D014-R01,SA-D014,14,R01,1,boundary,development,False,71ddb60aa969fd3b84e705152364cb63d4059eecc5accd77441fc0b77301624c,NOT_FROZEN,False,49655ae881385a4d5434d759404283c971c699f86dfc9c49dd6d1b63da793b16
stage_a_discovery_v1,572,SA-D014-R02,SA-D014,14,R02,2,boundary,development,False,71ddb60aa969fd3b84e705152364cb63d4059eecc5accd77441fc0b77301624c,NOT_FROZEN,False,8deb38c109bc0f72f370b8ad00f6dc2e7d3cfe97b7f66beeebe949af625a03dc
stage_a_discovery_v1,573,SA-D014-R03,SA-D014,14,R03,3,boundary,development,False,71ddb60aa969fd3b84e705152364cb63d4059eecc5accd77441fc0b77301624c,NOT_FROZEN,False,83a903e7ca1ce77037af0739bdca5fa5ccc0f1fd6e16c3d725dc8cd567c5158f
stage_a_discovery_v1,574,SA-D014-R04,SA-D014,14,R04,4,boundary,development,False,71ddb60aa969fd3b84e705152364cb63d4059eecc5accd77441fc0b77301624c,NOT_FROZEN,False,f1f02dfa7ee3eebacf53dade068fdaff94276addb9e1fc5f28365118a1ec6566
stage_a_discovery_v1,575,SA-D015-R00,SA-D015,15,R00,0,boundary,development,False,4a085435548f63d5aa44a6478a51f45dd74b8bec4e17a560c0e2f1bf813f9cd9,NOT_FROZEN,False,f03a577b1637a66bed335f3501d7661c0326670aedefff7d718bb1d0778a7bae
stage_a_discovery_v1,576,SA-D015-R01,SA-D015,15,R01,1,boundary,development,False,4a085435548f63d5aa44a6478a51f45dd74b8bec4e17a560c0e2f1bf813f9cd9,NOT_FROZEN,False,1d24e73f82046ac2e8b6ab7a886790dae3d4f99aece55d5552a87103f416df69
stage_a_discovery_v1,577,SA-D015-R02,SA-D015,15,R02,2,boundary,development,False,4a085435548f63d5aa44a6478a51f45dd74b8bec4e17a560c0e2f1bf813f9cd9,NOT_FROZEN,False,f5798a2f787cefb69e6aacfc99e92b923ea6b5ff664fc5d62d6e8570854961bb
stage_a_discovery_v1,578,SA-D015-R03,SA-D015,15,R03,3,boundary,development,False,4a085435548f63d5aa44a6478a51f45dd74b8bec4e17a560c0e2f1bf813f9cd9,NOT_FROZEN,False,42ad168edf5a0983084c8381ab324fb92dfd45b6765eb97dac317647aa344d9f
stage_a_discovery_v1,579,SA-D015-R04,SA-D015,15,R04,4,boundary,development,False,4a085435548f63d5aa44a6478a51f45dd74b8bec4e17a560c0e2f1bf813f9cd9,NOT_FROZEN,False,60e74f3c24ba12cba1e603a316285de0206f671146e9c87dd1461b55efb3eca5
stage_a_discovery_v1,580,SA-D016-R00,SA-D016,16,R00,0,boundary,development,False,132c51b287dde3cfadeeac6a990cc5a0b0555d5fa2286b6e0176d91f9bc5b1cb,NOT_FROZEN,False,99cd2ec4f447ff2d19368a124432c7e68ef017cd490808969907efceca6fbdc1
stage_a_discovery_v1,581,SA-D016-R01,SA-D016,16,R01,1,boundary,development,False,132c51b287dde3cfadeeac6a990cc5a0b0555d5fa2286b6e0176d91f9bc5b1cb,NOT_FROZEN,False,9dee8d424592d21bcc42aaae38165e1922539afaf16dde571db8fc7b80c4d4f0
stage_a_discovery_v1,582,SA-D016-R02,SA-D016,16,R02,2,boundary,development,False,132c51b287dde3cfadeeac6a990cc5a0b0555d5fa2286b6e0176d91f9bc5b1cb,NOT_FROZEN,False,e813c094410834f9e373f1fecb161b37b1178f796c6ad77b36eaa25d1ab7a4b6
stage_a_discovery_v1,583,SA-D016-R03,SA-D016,16,R03,3,boundary,development,False,132c51b287dde3cfadeeac6a990cc5a0b0555d5fa2286b6e0176d91f9bc5b1cb,NOT_FROZEN,False,558135f43c81f868754e17ca66e378c08b2d7fa7e10ecb3a926172200ae104db
stage_a_discovery_v1,584,SA-D016-R04,SA-D016,16,R04,4,boundary,development,False,132c51b287dde3cfadeeac6a990cc5a0b0555d5fa2286b6e0176d91f9bc5b1cb,NOT_FROZEN,False,3b821f3d6e02945ea847f4642e5d89f3b6f3f353c32a4866515b2b8bda2cffc3
